pairing,piano_a,piano_b,layout,layout_ja,min_net_x_m,min_net_y_m,min_net_area_m2,equiv_gross_x_m,equiv_gross_y_m,equiv_gross_area_m2,equiv_gross_jo_1_6562
Two concert grands (absolute worst case),Yamaha CFX,Yamaha CFX,NESTED_DUO,対向ネスト配置,7.475,2.625,19.62,7.775,2.925,22.74,13.7
Two concert grands (absolute worst case),Yamaha CFX,Yamaha CFX,MIRRORED_OPPOSED,対向非ネスト配置,7.7,2.595,19.98,8.0,2.895,23.16,14.0
Two concert grands (absolute worst case),Yamaha CFX,Yamaha CFX,PARALLEL_SAME,並列同方向配置,4.35,4.785,20.81,4.65,5.085,23.65,14.3
Two concert grands (absolute worst case),Yamaha CFX,Yamaha CFX,PERPENDICULAR_L,L字直交配置,4.35,6.25,27.19,4.65,6.55,30.46,18.4
Two concert grands (absolute worst case),Yamaha CFX,Yamaha CFX,PERPENDICULAR_L2,L字直交配置(反転),6.25,4.35,27.19,6.55,4.65,30.46,18.4
Concert + semi-concert,Yamaha CFX,Yamaha C7X,NESTED_DUO,対向ネスト配置,7.075,2.6,18.4,7.375,2.9,21.39,12.9
Concert + semi-concert,Yamaha CFX,Yamaha C7X,MIRRORED_OPPOSED,対向非ネスト配置,7.22,2.585,18.66,7.52,2.885,21.7,13.1
Concert + semi-concert,Yamaha CFX,Yamaha C7X,PARALLEL_SAME,並列同方向配置,7.825,2.585,20.23,8.125,2.885,23.44,14.2
Concert + semi-concert,Yamaha CFX,Yamaha C7X,PERPENDICULAR_L,L字直交配置,6.46,3.87,25.0,6.76,4.17,28.19,17.0
Concert + semi-concert,Yamaha CFX,Yamaha C7X,PERPENDICULAR_L2,L字直交配置(反転),6.45,3.875,24.99,6.75,4.175,28.18,17.0
Two semi-concert grands,Yamaha C7X,Yamaha C7X,NESTED_DUO,対向ネスト配置,6.74,2.52,16.98,7.04,2.82,19.85,12.0
Two semi-concert grands,Yamaha C7X,Yamaha C7X,MIRRORED_OPPOSED,対向非ネスト配置,6.74,2.52,16.98,7.04,2.82,19.85,12.0
Two semi-concert grands,Yamaha C7X,Yamaha C7X,PARALLEL_SAME,並列同方向配置,3.87,4.66,18.03,4.17,4.96,20.68,12.5
Two semi-concert grands,Yamaha C7X,Yamaha C7X,PERPENDICULAR_L,L字直交配置,5.98,3.87,23.14,6.28,4.17,26.19,15.8
Two semi-concert grands,Yamaha C7X,Yamaha C7X,PERPENDICULAR_L2,L字直交配置(反転),3.87,5.98,23.14,4.17,6.28,26.19,15.8
Semi-concert + medium (project default),Yamaha C7X,Yamaha C3X,NESTED_DUO,対向ネスト配置,6.33,2.51,15.89,6.63,2.81,18.63,11.2
Semi-concert + medium (project default),Yamaha C7X,Yamaha C3X,MIRRORED_OPPOSED,対向非ネスト配置,6.33,2.51,15.89,6.63,2.81,18.63,11.2
Semi-concert + medium (project default),Yamaha C7X,Yamaha C3X,PARALLEL_SAME,並列同方向配置,6.935,2.51,17.41,7.235,2.81,20.33,12.3
Semi-concert + medium (project default),Yamaha C7X,Yamaha C3X,PERPENDICULAR_L,L字直交配置,5.96,3.46,20.62,6.26,3.76,23.54,14.2
Semi-concert + medium (project default),Yamaha C7X,Yamaha C3X,PERPENDICULAR_L2,L字直交配置(反転),5.97,3.46,20.66,6.27,3.76,23.58,14.2
Two medium grands,Yamaha C3X,Yamaha C3X,NESTED_DUO,対向ネスト配置,5.92,2.5,14.8,6.22,2.8,17.42,10.5
Two medium grands,Yamaha C3X,Yamaha C3X,MIRRORED_OPPOSED,対向非ネスト配置,5.92,2.5,14.8,6.22,2.8,17.42,10.5
Two medium grands,Yamaha C3X,Yamaha C3X,PARALLEL_SAME,並列同方向配置,3.46,4.59,15.88,3.76,4.89,18.39,11.1
Two medium grands,Yamaha C3X,Yamaha C3X,PERPENDICULAR_L,L字直交配置,5.55,3.46,19.2,5.85,3.76,22.0,13.3
Two medium grands,Yamaha C3X,Yamaha C3X,PERPENDICULAR_L2,L字直交配置(反転),3.46,5.55,19.2,3.76,5.85,22.0,13.3
