gross_x_m,gross_y_m,shape_origin,aspect,net_x_m,net_y_m,net_area_m2,piano_a,piano_b,fits,layout,slack_mm
5.353,5.353,free 1:1.00,1.0,5.053,5.053,25.53,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,403
5.353,5.353,free 1:1.00,1.0,5.053,5.053,25.53,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,453
5.353,5.353,free 1:1.00,1.0,5.053,5.053,25.53,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,453
5.353,5.353,free 1:1.00,1.0,5.053,5.053,25.53,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,503
5.353,5.353,free 1:1.00,1.0,5.053,5.053,25.53,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,473
4.991,5.74,free 1:1.15,1.15,4.691,5.44,25.52,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,341
4.991,5.74,free 1:1.15,1.15,4.691,5.44,25.52,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,491
4.991,5.74,free 1:1.15,1.15,4.691,5.44,25.52,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,801
4.991,5.74,free 1:1.15,1.15,4.691,5.44,25.52,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,841
4.991,5.74,free 1:1.15,1.15,4.691,5.44,25.52,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,860
4.695,6.103,free 1:1.30,1.3,4.395,5.803,25.5,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,45
4.695,6.103,free 1:1.30,1.3,4.395,5.803,25.5,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,195
4.695,6.103,free 1:1.30,1.3,4.395,5.803,25.5,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,505
4.695,6.103,free 1:1.30,1.3,4.395,5.803,25.5,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,3
4.695,6.103,free 1:1.30,1.3,4.395,5.803,25.5,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,3
4.55,6.37,module 10x14 @ 455mm,1.4,4.25,6.07,25.8,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,50
4.55,6.37,module 10x14 @ 455mm,1.4,4.25,6.07,25.8,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,50
4.55,6.37,module 10x14 @ 455mm,1.4,4.25,6.07,25.8,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,360
4.55,6.37,module 10x14 @ 455mm,1.4,4.25,6.07,25.8,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,20
4.55,6.37,module 10x14 @ 455mm,1.4,4.25,6.07,25.8,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,150
4.371,6.556,free 1:1.50,1.5,4.071,6.256,25.47,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,21
4.371,6.556,free 1:1.50,1.5,4.071,6.256,25.47,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,21
4.371,6.556,free 1:1.50,1.5,4.071,6.256,25.47,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,6
4.371,6.556,free 1:1.50,1.5,4.071,6.256,25.47,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,6
4.371,6.556,free 1:1.50,1.5,4.071,6.256,25.47,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,336
4.046,7.081,free 1:1.75,1.75,3.746,6.781,25.4,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,81
4.046,7.081,free 1:1.75,1.75,3.746,6.781,25.4,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,81
4.046,7.081,free 1:1.75,1.75,3.746,6.781,25.4,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,131
4.046,7.081,free 1:1.75,1.75,3.746,6.781,25.4,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,451
4.046,7.081,free 1:1.75,1.75,3.746,6.781,25.4,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,861
3.785,7.57,free 1:2.00,2.0,3.485,7.27,25.34,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,20
3.785,7.57,free 1:2.00,2.0,3.485,7.27,25.34,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,170
3.785,7.57,free 1:2.00,2.0,3.485,7.27,25.34,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,620
3.785,7.57,free 1:2.00,2.0,3.485,7.27,25.34,Yamaha C7X,Yamaha C3X,YES,NESTED_DUO,940
3.785,7.57,free 1:2.00,2.0,3.485,7.27,25.34,Yamaha C3X,Yamaha C3X,YES,NESTED_DUO,985
3.64,7.735,module 8x17 @ 455mm,2.125,3.34,7.435,24.83,Yamaha CFX,Yamaha CFX,YES,NESTED_DUO,85
3.64,7.735,module 8x17 @ 455mm,2.125,3.34,7.435,24.83,Yamaha CFX,Yamaha C7X,YES,NESTED_DUO,335
3.64,7.735,module 8x17 @ 455mm,2.125,3.34,7.435,24.83,Yamaha C7X,Yamaha C7X,YES,NESTED_DUO,785
