gross_x_m,gross_y_m,gross_ceiling_m,net_ceiling_m,net_volume_m3,guidance_m3,meets_guidance
5.353,5.353,2.4,2.05,52.3,76.0,NO
5.353,5.353,2.72,2.37,60.5,76.0,NO
5.353,5.353,3.0,2.65,67.7,76.0,NO
4.991,5.74,2.4,2.05,52.3,76.0,NO
4.991,5.74,2.72,2.37,60.5,76.0,NO
4.991,5.74,3.0,2.65,67.6,76.0,NO
4.695,6.103,2.4,2.05,52.3,76.0,NO
4.695,6.103,2.72,2.37,60.4,76.0,NO
4.695,6.103,3.0,2.65,67.6,76.0,NO
4.55,6.37,2.4,2.05,52.9,76.0,NO
4.55,6.37,2.72,2.37,61.1,76.0,NO
4.55,6.37,3.0,2.65,68.4,76.0,NO
4.371,6.556,2.4,2.05,52.2,76.0,NO
4.371,6.556,2.72,2.37,60.4,76.0,NO
4.371,6.556,3.0,2.65,67.5,76.0,NO
4.046,7.081,2.4,2.05,52.1,76.0,NO
4.046,7.081,2.72,2.37,60.2,76.0,NO
4.046,7.081,3.0,2.65,67.3,76.0,NO
3.785,7.57,2.4,2.05,51.9,76.0,NO
3.785,7.57,2.72,2.37,60.0,76.0,NO
3.785,7.57,3.0,2.65,67.1,76.0,NO
3.64,7.735,2.4,2.05,50.9,76.0,NO
3.64,7.735,2.72,2.37,58.9,76.0,NO
3.64,7.735,3.0,2.65,65.8,76.0,NO
3.53,8.118,2.4,2.05,51.8,76.0,NO
3.53,8.118,2.72,2.37,59.8,76.0,NO
3.53,8.118,3.0,2.65,66.9,76.0,NO
